Geneid	C45_22_2L_1Aligned.out.bam	C45_22_2L_2Aligned.out.bam	C45_22_2L_3Aligned.out.bam	WT_2g_5Aligned.out.bam	WT_2g_6Aligned.out.bam	WT_2g_7Aligned.out.bam
CopciAB_468489.T0	0	0	0	0	0	0
CopciAB_1002419.T0	0	0	0	0	0	0
CopciAB_468488.T0	0	0	0	0	0	0
CopciAB_1002420.T0	0	0	0	0	0	0
CopciAB_468487.T0	0	0	0	0	0	0
CopciAB_448302.T0	0	0	0	0	0	0
CopciAB_1002430.T0	0	0	0	0	1	1
CopciAB_1002431.T0	2	0	0	0	0	1
CopciAB_502201.T0	0	0	0	0	0	0
CopciAB_455885.T0	1876	1980	1807	2173	3431	1013
CopciAB_443904.T0	7	8	8	6	6	3
CopciAB_467262.T0	83	105	78	52	91	48
CopciAB_502191.T0	0	0	0	0	0	0
CopciAB_522040.T0	0	0	0	0	0	0
CopciAB_547321.T0	14	6	4	11	3	12
CopciAB_384206.T0	0	0	0	0	0	0
CopciAB_373625.T0	3	12	6	282	101	2461
CopciAB_1002439.T0	169	196	277	10171	7098	22527
CopciAB_439294.T0	3	7	5	4	5	6
CopciAB_1002441.T0	28	48	85	20	12	28
CopciAB_463624.T0	7	3	13	1	1	0
CopciAB_383901.T0	0	0	0	0	0	0
CopciAB_503355.T0	0	0	0	0	0	0
CopciAB_534203.T0	0	0	0	0	0	0
CopciAB_1002444.T0	0	0	0	0	0	0
CopciAB_479937.T0	1	2	1	2	1	2
CopciAB_1002447.T0	35	32	33	31	12	9
CopciAB_380620.T0	0	0	0	0	0	0
CopciAB_468464.T0	0	0	0	0	0	0
CopciAB_1002453.T0	0	2	0	1	0	0
CopciAB_500870.T0	0	0	0	2	0	0
CopciAB_464957.T0	87	95	83	1461	1547	2194
CopciAB_492440.T0	85	114	110	148	217	77
CopciAB_1002460.T0	38	47	45	43	54	24
CopciAB_1002461.T0	95	118	146	109	103	60
CopciAB_1002462.T0	40	45	43	46	53	39
CopciAB_1002467.T0	219	196	169	280	358	147
CopciAB_516686.T0	0	0	0	0	0	0
CopciAB_377363.T0	0	0	0	0	0	0
CopciAB_377357.T0	0	0	0	0	0	0
CopciAB_1002471.T0	0	0	0	6	11	11
CopciAB_466153.T0	0	0	0	7	8	7
CopciAB_116614.T0	1798	1602	1449	2381	2609	1503
CopciAB_501474.T0	0	0	0	0	0	0
CopciAB_372155.T0	176	140	90	211	159	133
CopciAB_490906.T0	0	0	0	0	4	0
CopciAB_1002480.T0	20	14	8	4	20	5
CopciAB_1002481.T0	5	9	6	8	1	4
CopciAB_1002485.T0	43	42	73	134	40	141
CopciAB_1002486.T0	2	2	0	2	1	1
CopciAB_375856.T0	0	0	0	0	0	0
CopciAB_384161.T0	0	0	0	0	0	0
CopciAB_1002489.T0	0	0	0	3	0	0
CopciAB_1002490.T0	0	0	0	3	0	0
CopciAB_1002492.T0	7	14	18	7	1	6
CopciAB_1002493.T0	0	0	0	0	0	0
CopciAB_383673.T0	0	0	0	0	0	0
CopciAB_383289.T0	0	0	0	0	0	0
CopciAB_1002501.T0	0	0	0	0	0	0
CopciAB_1002510.T0	0	0	0	0	0	0
CopciAB_448474.T0	461	649	495	328	455	214
CopciAB_1002514.T0	28	8	4	13	7	0
CopciAB_1002519.T0	1572	1649	1802	1441	565	1361
CopciAB_1002521.T0	154	218	174	292	339	144
CopciAB_513543.T0	1802	1897	1377	2704	2308	1601
CopciAB_1002524.T0	88	99	101	75	109	104
CopciAB_513568.T0	3513	3839	3627	7722	8604	4053
CopciAB_1002526.T0	32	15	19	13	11	14
CopciAB_1002528.T0	24	31	13	15	6	6
CopciAB_360684.T0	35	57	86	41	45	36
CopciAB_275871.T0	5100	4519	4341	7343	6174	3449
CopciAB_472834.T0	486	438	433	529	557	300
CopciAB_504081.T0	0	0	0	0	0	0
CopciAB_1002535.T0	0	0	0	0	0	0
CopciAB_1002029.T0	0	0	0	0	2	0
CopciAB_1002537.T0	0	0	0	0	3	0
CopciAB_1000808.T0	0	0	0	0	0	0
CopciAB_1002541.T0	0	0	0	0	0	0
CopciAB_384025.T0	0	0	0	0	0	0
CopciAB_1002553.T0	0	0	0	0	0	0
CopciAB_1002554.T0	0	0	0	0	0	0
CopciAB_477618.T0	696	701	691	918	1491	788
CopciAB_204891.T0	256	183	121	362	238	167
CopciAB_1002564.T0	12	12	6	19	18	13
CopciAB_1002569.T0	8	21	17	57	19	37
CopciAB_138880.T0	37	43	21	47	23	29
CopciAB_378804.T0	0	0	0	0	0	0
CopciAB_378803.T0	0	0	0	0	0	0
CopciAB_383554.T0	0	0	0	0	0	0
CopciAB_383372.T0	0	0	0	0	0	0
CopciAB_1002580.T0	0	0	0	0	0	0
CopciAB_459178.T0	0	0	0	0	0	0
CopciAB_503035.T0	0	0	4	3	0	0
CopciAB_381202.T0	0	0	0	0	0	0
CopciAB_503037.T0	0	0	0	0	0	0
CopciAB_457333.T0	0	0	0	0	0	0
CopciAB_452220.T0	4272	4231	3825	7493	6088	4329
CopciAB_1002585.T0	27	34	4	36	24	48
CopciAB_33938.T0	69	92	51	135	126	87
CopciAB_1002586.T0	7	13	0	7	2	8
CopciAB_1002590.T0	3	7	12	7	7	12
CopciAB_1002593.T0	18	12	7	14	7	11
CopciAB_1002599.T0	186	189	170	77	114	62
CopciAB_482933.T0	13	3	4	24	6	13
CopciAB_1002600.T0	2	0	0	1	9	7
CopciAB_409191.T0	0	0	2	0	0	1
CopciAB_328523.T0	0	0	0	0	0	1
CopciAB_459173.T0	0	0	0	0	0	0
CopciAB_503896.T0	0	0	0	0	0	0
CopciAB_460044.T0	0	0	0	0	0	0
CopciAB_460042.T0	0	0	0	0	0	0
CopciAB_458083.T0	0	0	0	0	0	0
CopciAB_503406.T0	0	0	0	0	0	0
CopciAB_336735.T0	0	0	0	0	0	0
CopciAB_382270.T0	0	0	0	0	0	0
CopciAB_382268.T0	0	0	0	0	0	0
CopciAB_443673.T0	6	14	8	5	3	4
CopciAB_1002612.T0	3	7	3	9	7	10
CopciAB_433582.T0	1	4	4	5	0	4
CopciAB_504252.T0	0	0	0	0	0	0
CopciAB_1000011.T0	0	0	0	0	0	0
CopciAB_1002613.T0	0	0	0	0	0	0
CopciAB_1002782.T0	0	0	0	0	0	0
CopciAB_460443.T0	0	0	0	0	0	0
CopciAB_1002258.T0	0	0	0	0	0	0
CopciAB_1002620.T0	0	0	0	0	0	0
CopciAB_382347.T0	57	66	59	22	65	30
CopciAB_1002621.T0	0	0	0	0	0	0
CopciAB_435005.T0	0	0	0	0	2	0
CopciAB_435002.T0	0	3	6	0	0	0
CopciAB_456998.T0	1	2	3	1	6	2
CopciAB_483177.T0	0	4	1	0	0	0
CopciAB_378553.T0	0	0	0	0	0	2
CopciAB_501954.T0	1	0	6	2	1	4
CopciAB_466486.T0	382	395	273	614	325	397
CopciAB_546322.T0	32	50	39	34	10	16
CopciAB_467477.T0	0	0	0	0	0	0
CopciAB_502322.T0	1796	1766	1851	2256	3112	1007
CopciAB_503488.T0	0	0	0	0	0	0
CopciAB_410042.T0	4	5	3	3	2	3
CopciAB_1002633.T0	14	18	22	35	13	13
CopciAB_1002634.T0	41	20	31	40	42	15
CopciAB_1002635.T0	0	0	0	0	0	0
CopciAB_374052.T0	0	0	0	7	0	3
CopciAB_1002638.T0	15	10	28	14	10	13
CopciAB_510549.T0	16	18	8	13	29	32
CopciAB_480933.T0	19	28	50	15	16	15
CopciAB_1002644.T0	18	12	31	6	6	12
CopciAB_467411.T0	3	3	2	0	2	3
CopciAB_480928.T0	0	0	0	0	0	1
CopciAB_439689.T0	0	1	3	10	6	2
CopciAB_461610.T0	2569	2043	2075	4513	2846	2247
CopciAB_1002647.T0	6	6	0	19	6	2
CopciAB_537316.T0	3952	4094	3361	5964	5453	4134
CopciAB_1002650.T0	107	98	209	79	49	82
CopciAB_461642.T0	1110	1360	1514	822	826	488
CopciAB_1002653.T0	3	9	12	18	2	7
CopciAB_1002654.T0	264	324	225	200	116	67
CopciAB_451206.T0	1040	1273	1378	1399	1521	950
CopciAB_1002657.T0	8	19	12	16	2	9
CopciAB_147811.T0	8	22	14	20	5	8
CopciAB_1002665.T0	0	0	0	0	0	0
CopciAB_1002668.T0	364	476	352	361	205	451
CopciAB_1002669.T0	221	273	213	227	185	298
CopciAB_1002671.T0	93	100	65	71	42	52
CopciAB_477371.T0	6	16	8	10	12	10
CopciAB_496435.T0	680	880	607	1420	1864	1180
CopciAB_1002680.T0	15	29	16	7	27	7
CopciAB_469187.T0	0	0	0	0	0	0
CopciAB_1002685.T0	0	0	0	0	0	0
CopciAB_384159.T0	0	0	0	0	0	0
CopciAB_383323.T0	0	0	0	0	0	0
CopciAB_1002760.T0	16	12	10	28	21	22
CopciAB_1002765.T0	16	12	11	28	21	16
CopciAB_1002707.T0	72550	66006	58546	132174	70204	67114
CopciAB_1002763.T0	153070	145876	127495	282345	168958	145995
CopciAB_1002783.T0	153137	145993	127565	282562	169804	145960
CopciAB_1002785.T0	153048	145845	127484	282335	168958	145966
CopciAB_1002784.T0	20943	16765	14837	29024	8006	18701
CopciAB_1001259.T0	98	96	72	84	149	23
CopciAB_501345.T0	1376	1606	1231	1045	1576	899
CopciAB_1000152.T0	57	79	87	67	34	39
CopciAB_481776.T0	2951	3008	2571	4363	3738	2588
CopciAB_1001027.T0	0	0	0	5	0	0
CopciAB_1001589.T0	2	0	0	0	2	1
CopciAB_490988.T0	2	3	0	0	2	7
CopciAB_466431.T0	6	3	6	1	9	4
CopciAB_377815.T0	0	0	2	0	0	0
CopciAB_546857.T0	0	6	0	0	0	3
CopciAB_1000305.T0	38	44	18	88	45	56
CopciAB_348218.T0	955	1052	1015	1419	1787	954
CopciAB_377485.T0	30	18	4	14	8	5
CopciAB_1000310.T0	39	34	34	32	5	36
CopciAB_407873.T0	1	0	7	0	0	1
CopciAB_1000311.T0	10	10	5	3	13	1
CopciAB_1000313.T0	0	3	0	1	5	0
CopciAB_1000315.T0	17	16	16	8	13	10
CopciAB_407893.T0	0	4	0	0	0	1
CopciAB_1000316.T0	0	0	0	0	0	0
CopciAB_1001901.T0	0	0	0	0	0	0
CopciAB_1000323.T0	0	0	0	0	0	0
CopciAB_1001429.T0	0	0	0	0	0	0
CopciAB_1002018.T0	0	0	0	0	0	0
CopciAB_1002166.T0	0	0	0	0	0	0
